Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
9/16/2019,In-N-Out Burger,IN N OUT BURGER 117 LOS ANGELES CA,9.69,debit,Fast Food,Discover,,
9/13/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,134.66,credit,Credit Card Payment,Discover,,
9/12/2019,Baja Sharkeez,BAJA SHARKEEZ - MANHATTA MANHATTAN BEACA,27.38,debit,Alcohol & Bars,Discover,,
9/08/2019,FRG*TEAMFANSHOP 855-210-8831 FL,FRG*TEAMFANSHOP 855-210-8831 FL,134.66,debit,Clothing,Discover,,
8/26/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,10.0,credit,Credit Card Payment,Discover,,
8/23/2019,Caribou Coffee,CARIBOU COFFEE LOS ANGELES CA,3.06,debit,Coffee Shops,Discover,,
8/21/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,82.5,credit,Credit Card Payment,Discover,,
8/19/2019,HABIT BURGE24088973579 LOS ANGELES CA,HABIT BURGE24088973579 LOS ANGELES CA,6.94,debit,Fast Food,Discover,,
8/16/2019,Jiffy Lube,JIFFY LUBE 1092 TACOMA WA,82.5,debit,Service & Parts,Discover,,
7/17/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,36.0,credit,Credit Card Payment,Discover,,
7/13/2019,Roccos Tavern,ROCCO'S TAVERN WESTWOO LOS ANGELES CA,24.0,debit,Alcohol & Bars,Discover,,
7/12/2019,Roccos Tavern,ROCCO'S TAVERN WESTWOO LOS ANGELES CA,6.0,debit,Alcohol & Bars,Discover,,
7/12/2019,Roccos Tavern,ROCCO'S TAVERN WESTWOO LOS ANGELES CA,6.0,debit,Alcohol & Bars,Discover,,
7/12/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,9.24,credit,Credit Card Payment,Discover,,
7/05/2019,HABIT BURGE24088973579 LOS ANGELES CA,HABIT BURGE24088973579 LOS ANGELES CA,9.24,debit,Fast Food,Discover,,
7/03/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,11.5,credit,Credit Card Payment,Discover,,
6/22/2019,The Shack,THE SHACK PLAYA DEL REYCA,11.5,debit,Food & Dining,Discover,,
6/13/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,89.11,credit,Credit Card Payment,Discover,,
6/07/2019,Ralphs,RALPHS #0278 LOS ANGELES CA,81.5,debit,Groceries,Discover,,
5/25/2019,In-N-Out Burger,IN N OUT BURGER 117 LOS ANGELES CA,7.61,debit,Fast Food,Discover,,
5/17/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,21.0,credit,Credit Card Payment,Discover,,
5/14/2019,THE FAIRMONT MIRAMAR F/B SANTA MONICA CA,THE FAIRMONT MIRAMAR F/B SANTA MONICA CA,21.0,debit,Alcohol & Bars,Discover,,
5/09/2019,Transfer from Adv Plus Banking,INTERNET PAYMENT - THANK YOU,25.04,credit,Credit Card Payment,Discover,,
5/06/2019,LMU BOOKSTORE #827 LOS ANGELES CA,LMU BOOKSTORE #827 LOS ANGELES CA,2.71,debit,Books,Discover,,
5/06/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,19.71,credit,Credit Card Payment,Discover,,
5/05/2019,Subway,SUBWAY 00118125255 WEST CHESTER CA,22.33,debit,Fast Food,Discover,,
5/03/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,12.91,credit,Credit Card Payment,Discover,,
5/02/2019,Subway,SUBWAY 00118125255 WEST CHESTER CA,19.71,debit,Fast Food,Discover,,
4/28/2019,Togo's,TOGOS - WESTCHESTER LOS ANGELES CA,12.91,debit,Restaurants,Discover,,
4/26/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,38.84,credit,Credit Card Payment,Discover,,
4/24/2019,263 BOWLERO 8003425263 LOS ANGELES CA,263 BOWLERO 8003425263 LOS ANGELES CA,38.84,debit,Entertainment,Discover,,
4/22/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,30.09,credit,Credit Card Payment,Discover,,
4/22/2019,To make you happy,To make you happy,7.0,credit,Income,Venmo,,
4/21/2019,I will regret two later,I will regret two later,4.0,credit,Income,Venmo,,
4/21/2019,Cookies,Cookies,4.0,credit,Income,Venmo,,
4/21/2019,Cookies,Cookies,2.0,credit,Income,Venmo,,
4/21/2019,Lockdown Osiris brews,Lockdown Osiris brews,11.5,credit,Income,Venmo,,
4/20/2019,Thx,Thx,2.0,credit,Income,Venmo,,
4/19/2019,Martin Gonzales,SQ *MARTIN GONZALEZ INGLEWOOD CA000115292150852607,27.6,debit,Business Services,Discover,,
4/18/2019,Lockdown Osiris brews,Lockdown Osiris brews,11.5,credit,Income,Venmo,,
4/16/2019,May rent,May rent,975.0,debit,Mortgage & Rent,Venmo,,
4/15/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,92.39,credit,Credit Card Payment,Discover,,
4/15/2019,LMU BOOKSTORE #827 LOS ANGELES CA,LMU BOOKSTORE #827 LOS ANGELES CA,2.49,debit,Books,Discover,,
4/13/2019,Cabo,Cabo,20.0,credit,Income,Venmo,,
4/13/2019,Cabo Cantina,Cabo cantina,36.6,debit,Alcohol & Bars,Venmo,,
4/12/2019,LMU MAIL DISTRIBUTION LOS ANGELES CA,LMU MAIL DISTRIBUTION LOS ANGELES CA,0.55,debit,Shipping,Discover,,
4/11/2019,LMU BOOKSTORE #827 LOS ANGELES CA,LMU BOOKSTORE #827 LOS ANGELES CA,89.35,debit,Books,Discover,,
4/09/2019,"Shirt, Elias Rodkey, large","Shirt, Elias Rodkey, large",10.0,debit,Charity,Venmo,,
4/08/2019,LMU BOOKSTORE #827 LOS ANGELES CA,LMU BOOKSTORE #827 LOS ANGELES CA,2.49,debit,Books,Discover,,
4/08/2019,Bark,Bark,6.5,debit,Pet Food & Supplies,Venmo,,
4/08/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,26.0,credit,Credit Card Payment,Discover,,
4/07/2019,Sashes,Sashes,14.4,debit,Charity,Venmo,,
4/06/2019,Takos,Takos,17.83,credit,Income,Venmo,,
4/06/2019,"Water, power, gas, trash, internet","Water, power, gas, trash, internet",146.25,debit,Utilities,Venmo,,
4/06/2019,Food,Food,18.83,credit,Income,Venmo,,
4/06/2019,Comida,Comida,16.6,credit,Income,Venmo,,
4/06/2019,TST*BREWPORT EL SEGUNDO CA,TST*BREWPORT EL SEGUNDO CA,26.0,debit,Alcohol & Bars,Discover,,
4/05/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,23.93,credit,Credit Card Payment,Discover,,
4/02/2019,Subway haha,Subway haha,12.0,credit,Income,Venmo,,
4/02/2019,Tent snacks,Tent snacks,4.0,credit,Income,Venmo,,
4/01/2019,Champs Sports,Champ,12.0,debit,Sporting Goods,Venmo,,
4/01/2019,Zip zip,Zip zip,33.0,credit,Income,Venmo,,
4/01/2019,Transfer from Adv Plus Banking,Subway,10.0,credit,Transfer,Venmo,,
4/01/2019,Pantheon tent snack,Pantheon tent snack,11.0,credit,Income,Venmo,,
3/31/2019,Clippers,Clippers,30.85,debit,Personal Care,Venmo,,
3/31/2019,McDonald's,MCDONALD'S F17115 MARINA DL REYCA,14.64,debit,Fast Food,Discover,,
3/30/2019,7-Eleven,7-ELEVEN 29677 SIMI VALLEY CA,9.29,debit,Fast Food,Discover,,
3/29/2019,Did you see I put 69 cents,Did you see I put 69 cents,1.69,credit,Income,Venmo,,
3/28/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,11.93,credit,Credit Card Payment,Discover,,
3/25/2019,GETADBLOCK.COM 317-537-7237 GA,GETADBLOCK.COM 317-537-7237 GA,5.0,debit,Electronics & Software,Discover,,
3/25/2019,Transfer from Adv Plus Banking,INTERNET PAYMENT - THANK YOU,10.94,credit,Credit Card Payment,Discover,,
3/25/2019,HABIT BURGE24088973579 LOS ANGELES CA,HABIT BURGE24088973579 LOS ANGELES CA,6.93,debit,Fast Food,Discover,,
3/22/2019,PHO SHOW CULVER CITY CA,PHO SHOW CULVER CITY CA,10.94,debit,Restaurants,Discover,,
3/21/2019,$10 internet $5 light bulbs,$10 internet $5 light bulbs,15.0,debit,Internet,Venmo,,
3/20/2019,SMALL BALANCE CREDIT,SMALL BALANCE CREDIT,0.01,credit,Credit Card Payment,Discover,,
3/17/2019,April rent,April rent,975.0,debit,Mortgage & Rent,Venmo,,
3/17/2019,Kickback brews,Kickback brews,7.5,credit,Income,Venmo,,
3/16/2019,Toss,Toss,4.0,credit,Income,Venmo,,
3/16/2019,Kickback brews,Kickback brews,7.5,credit,Income,Venmo,,
3/16/2019,Kickback brews,Kickback brews,7.5,credit,Income,Venmo,,
3/16/2019,Subs,Subs,6.5,credit,Income,Venmo,,
3/16/2019,Subway,Subway,6.5,credit,Income,Venmo,,
3/16/2019,Brws,Brws,45.0,debit,Alcohol & Bars,Venmo,,
3/16/2019,Vroom Vroom,Vroom vroom,27.0,credit,Income,Venmo,,
3/15/2019,Internet Thank You,INTERNET PAYMENT - THANK YOU,25.9,credit,Credit Card Payment,Discover,,
3/14/2019,Kbbq,Kbbq,26.8,debit,Restaurants,Venmo,,
3/13/2019,Hotel Bahia Cabo,HOTEL BAHIA CABO SAN LUCAMEX,0.01,debit,Hotel,Discover,,
3/13/2019,Internet Thank You,INTERNET PAYMENT - THANK YOU,14.21,credit,Credit Card Payment,Discover,,
3/12/2019,Artes Diana Bcsmex,ARTES DIANA LOS CABOS BCSMEX500.00 @ 00000000.0518,25.9,debit,Restaurants,Discover,,
3/10/2019,Block,Block,5.0,debit,Restaurants,Venmo,,
3/08/2019,Chick-Fil-A,CHICK-FIL-A #03331 CULVER CITY CA,7.1,debit,Fast Food,Discover,,
3/07/2019,Coinage,Coinage,10.0,debit,ATM Fee,Venmo,,
3/06/2019,Last Cabo But,last cabo payment   but,100.0,credit,Reimbursement,Venmo,,
3/03/2019,Brnch,Brnch,15.5,debit,Restaurants,Venmo,,
3/03/2019,Sunset,Sunset,7.75,credit,Income,Venmo,,
3/02/2019,Subway,SUBWAY 00118125255 WEST CHESTER CA,7.11,debit,Fast Food,Discover,,
3/01/2019,Gas Bill,Gas bill,25.58,debit,Gas & Fuel,Venmo,,
2/26/2019,Internet Thank You,INTERNET PAYMENT - THANK YOU,3.33,credit,Credit Card Payment,Discover,,
2/25/2019,Transfer from Adv Plus Banking,INTERNET PAYMENT - THANK YOU,67.6,credit,Credit Card Payment,Discover,,
2/25/2019,T Minus Days,t-minus 12 days,100.0,credit,Income,Venmo,,
2/25/2019,Costco,Last Costco trip for chicken and eggs,25.0,debit,Groceries,Venmo,,
2/24/2019,Comida,Comida,6.5,credit,Income,Venmo,,
2/23/2019,Ralphs,RALPHS #0209 LOS ANGELES CA,3.33,debit,Groceries,Discover,,
2/23/2019,Oooooober,OOOOOOBER,16.0,credit,Income,Venmo,,
2/23/2019,Mcd,McD,11.5,debit,Restaurants,Venmo,,
2/23/2019,Banana Fund,Banana fund,60.0,debit,Groceries,Venmo,,
2/22/2019,Ber,ber,9.0,credit,Income,Venmo,,
2/21/2019,Justours Juscollege Tr,JUSTOURS/JUSCOLLEGE TR 855-458-7225 NV,40.0,debit,Tuition,Discover,,
2/20/2019,Martin Gonzales,SQ *MARTIN GONZALEZ INGLEWOOD CA000115292150843375,27.6,debit,Business Services,Discover,,
2/19/2019,Internet Thank You,INTERNET PAYMENT - THANK YOU,28.37,credit,Credit Card Payment,Discover,,
2/19/2019,Internet,Internet,10.0,debit,Internet,Venmo,,
2/17/2019,McDonald's,MCDONALD'S F17115 MARINA DL REYCA,14.31,debit,Fast Food,Discover,,
2/16/2019,Bergers Berws,Bergers and berws,8.0,debit,Restaurants,Venmo,,
2/16/2019,March Rent,March rent,975.0,debit,Mortgage & Rent,Venmo,,
2/16/2019,Shirt,Shirt,11.0,debit,Clothing,Venmo,,
2/15/2019,KFC,KFC E791008 LOS ANGELES CA,8.51,debit,Fast Food,Discover,,
2/15/2019,Internet Thank You,INTERNET PAYMENT - THANK YOU,4.39,credit,Credit Card Payment,Discover,,
2/14/2019,Lmu Lion Cafe,LMU-LION'S CAFE LOS ANGELES CA,5.55,debit,Restaurants,Discover,,
2/12/2019,Thank You,Thank you!!!,4.0,debit,Coffee Shops,Venmo,,
2/11/2019,Lmu Bookstore,LMU BOOKSTORE #827 LOS ANGELES CA,4.39,debit,Books,Discover,,
2/09/2019,Water Power Trash,"Water, power, trash",94.44,debit,Utilities,Venmo,,
2/09/2019,Macdoughnulds,Macdoughnulds,9.5,debit,Restaurants,Venmo,,
2/09/2019,Juliett Odell Paid,Juliett Odell Paid Eli Rodkey,200.0,credit,Reimbursement,Venmo,,
2/08/2019,Claw,Claw,5.0,debit,Restaurants,Venmo,,
2/07/2019,Transfer from Adv Plus Banking,INTERNET PAYMENT - THANK YOU,30.0,credit,Credit Card Payment,Discover,,
2/05/2019,Paste,Paste,5.0,debit,Restaurants,Venmo,,
2/03/2019,El Cid La,EL CID - LA LOS ANGELES CA,30.0,debit,Restaurants,Discover,,
1/29/2019,Spring Dues,Spring 2019 dues,510.0,debit,Bills & Utilities,Venmo,,
1/29/2019,Internet Thank You,INTERNET PAYMENT - THANK YOU,45.36,credit,Credit Card Payment,Discover,,
1/28/2019,Gas Bill,Gas bill,20.89,debit,Utilities,Venmo,,
1/27/2019,Erthang,erthang,15.0,credit,Income,Venmo,,
1/27/2019,Brews,Brews,7.0,credit,Income,Venmo,,
1/27/2019,Good Stuff,The good stuff,12.0,credit,Income,Venmo,,
1/26/2019,Beer,Beer,7.0,credit,Income,Venmo,,
1/25/2019,Eggs,Eggs and,23.0,debit,Groceries,Venmo,,
1/21/2019,Malibu Farm Cafe,SQ *MALIBU FARM CAFE MALIBU CA00011529215083931816,20.78,debit,Restaurants,Discover,,
1/19/2019,Loko,Loko,2.0,credit,Income,Venmo,,
1/19/2019,Loko,Loko,5.0,credit,Income,Venmo,,
1/19/2019,Loko,Loko,2.0,credit,Income,Venmo,,
1/18/2019,Internet,Internet,10.0,debit,Internet,Venmo,,
1/17/2019,Loyola Marymt Unv,LOYOLA MARYMT UNV - C ST LOS ANGELES CA,8.4,debit,Fast Food,Discover,,
1/17/2019,Century Theaters,CENTURY MARINA LIQUOR LOS ANGELES CA,16.18,debit,Movies & DVDs,Discover,,
1/17/2019,I Luhhh You,I luhhh you,240.0,debit,Babysitter & Daycare,Venmo,,
1/16/2019,Internet Thank You,INTERNET PAYMENT - THANK YOU,19.55,credit,Credit Card Payment,Discover,,
1/14/2019,February Rent,February rent,975.0,debit,Mortgage & Rent,Venmo,,
1/14/2019,Toilet Paper Trash,"Toilet paper, trash bags, cleaning wipes, 409 cleaner",6.75,debit,Home Services,Venmo,,
1/13/2019,Vons,VONS STORE 4021 LOS ANGELES CA,19.55,debit,Groceries,Discover,,
1/13/2019,Internet Thank You,INTERNET PAYMENT - THANK YOU,24.88,credit,Credit Card Payment,Discover,,
1/13/2019,Wangs,Wangs,15.5,debit,Restaurants,Venmo,,
1/09/2019,Arco,ARCO#83558HADI MINI MARK TACOMA WA,24.88,debit,Gas & Fuel,Discover,,
1/08/2019,Break,break,16.5,credit,Reimbursement,Venmo,,
1/04/2019,Do Something Fun,do something fun tonight kid,24.0,credit,Reimbursement,Venmo,,
1/03/2019,Thank Yewww,Thank yewww,12.0,credit,Reimbursement,Venmo,,
1/03/2019,Couvtown,Couvtown,11.33,credit,Reimbursement,Venmo,,
1/03/2019,Nye,NYE,11.33,credit,Reimbursement,Venmo,,
1/03/2019,Couv,Couv,10.0,debit,Restaurants,Venmo,,
1/01/2019,Hey,HEY,11.33,credit,Reimbursement,Venmo,,
12/29/2018,Gas Bill,Gas bill,20.06,debit,Gas & Fuel,Venmo,,
12/18/2018,Internet,Internet,10.0,debit,Internet,Venmo,,
12/15/2018,January Rent,January rent,975.0,debit,Mortgage & Rent,Venmo,,
12/09/2018,Months Water Power,2 months of water and power,145.24,debit,Utilities,Venmo,,
12/04/2018,Gas Bill,Gas bill,18.47,debit,Gas & Fuel,Venmo,,
12/02/2018,Eli Rodkey Paid,Eli Rodkey Paid Juliett Odell,50.0,debit,Restaurants,Venmo,,
12/02/2018,Brews Roc,Brews and Roc,15.0,debit,Alcohol & Bars,Venmo,,
11/30/2018,Airbnb,Air bnb shenanigans,6.0,debit,Hotel,Venmo,,
11/29/2018,Couv Town Usa,Couv town USA,39.0,debit,Vacation,Venmo,,
11/26/2018,Education,Education,5.0,debit,Books & Supplies,Venmo,,
11/21/2018,Red Dead,Red dead,20.0,credit,Reimbursement,Venmo,,
11/19/2018,Internet,Internet,10.0,debit,Internet,Venmo,,
11/17/2018,Apple Juice,Apple juice,9.5,credit,Reimbursement,Venmo,,
11/17/2018,Friday's,Friday nights,18.5,debit,Alcohol & Bars,Venmo,,
11/15/2018,December Rent,December rent,975.0,debit,Mortgage & Rent,Venmo,,
11/15/2018,Red Dead,Red dead,20.0,credit,Reimbursement,Venmo,,
11/11/2018,Kettle,Kettle,22.0,credit,Reimbursement,Venmo,,
11/09/2018,Gas Bill,Gas bill,18.46,debit,Utilities,Venmo,,
11/05/2018,Mcds,Mcds,9.0,credit,Reimbursement,Venmo,,
11/04/2018,Jared Swenson Paid,Jared Swenson Paid Eli Rodkey,7.0,credit,Reimbursement,Venmo,,
11/03/2018,Halloween Candy,Halloween candy,3.5,debit,Fast Food,Venmo,,
10/29/2018,Change,Change,5.0,debit,Fast Food,Venmo,,
10/28/2018,Kettle,Kettle,15.0,credit,Reimbursement,Venmo,,
10/28/2018,Kettle,kettle !!,9.0,credit,Reimbursement,Venmo,,
10/28/2018,Loko,Loko and last 2 racks,12.0,debit,Alcohol & Bars,Venmo,,
10/28/2018,Tatum Efron,Tatum > Efron,13.0,credit,Reimbursement,Venmo,,
10/28/2018,Kettle,Kettle,22.0,credit,Reimbursement,Venmo,,
10/28/2018,I Like Party,I like to party,5.0,debit,Alcohol & Bars,Venmo,,
10/28/2018,Reagan Ricossa Paid,Reagan Ricossa Paid Eli Rodkey,9.0,credit,Charity,Venmo,,
10/27/2018,Sfl Shirt,Sfl shirt,5.0,debit,Charity,Venmo,,
10/21/2018,Internet,Internet,10.0,debit,Internet,Venmo,,
10/17/2018,Oct Rent,Oct rent,975.0,debit,Mortgage & Rent,Venmo,,
10/17/2018,Anchor Splash,Anchor splash,15.0,debit,Charity,Venmo,,
10/12/2018,Das Liquids,Das liquids,6.0,debit,Alcohol & Bars,Venmo,,
10/10/2018,Gi Alpha Chi,GI alpha chi,10.0,debit,Charity,Venmo,,
10/10/2018,Amandas Team,Amandas team,11.0,debit,Charity,Venmo,,
10/10/2018,Glsses,Glsses,1.15,debit,Restaurants,Venmo,,
